i,alpha,beta,gamma,objf1,objf2,objf3,time,solution,,,,,
0,0.1,0,0.9,17,11,0,12711.9,4.1,,,,,
1,0.1,0.1,0.8,18,9,0,561.61,3.1,,,,,
2,0.1,0.2,0.7,18,9,0,288,2.2,,,,,
3,0.1,0.3,0.6,20,8,0,296.17,1.3,,,,,
4,0.1,0.4,0.5,20,8,0,237.61,0.5,,,,,
5,0.1,0.5,0.4,0,0,0,216.41,0,,,,,
6,0.1,0.6,0.3,0,0,0,203.1,0,,,,,
7,0.1,0.7,0.2,0,0,0,193.38,0,,,,,
8,0.1,0.8,0.1,18,2,10,181.5,0.4,,,,,
9,0.1,0.9,0,18,2,28,162.68,1.2,,,,,
10,0.2,0,0.8,17,11,0,16164.86,8.2,,,,,
11,0.2,0.1,0.7,17,11,0,1369.69,7.1,,,,,
12,0.2,0.2,0.6,18,9,0,900,6.2,,,,,
13,0.2,0.3,0.5,18,9,0,475.16,5.3,,,,,
14,0.2,0.4,0.4,18,9,0,420.44,4.4,,,,,
15,0.2,0.5,0.3,18,9,0,441.87,3.5,,,,,
16,0.2,0.6,0.2,18,2,10,558.14,2.8,,,,,
17,0.2,0.7,0.1,18,2,10,272.25,3.6,,,,,
18,0.2,0.8,0,18,2,27,203.65,4.4,,,,,
19,0.3,0,0.7,17,11,0,19599.51,12.3,,,,,
20,0.3,0.1,0.6,17,11,0,6290.62,11.2,,,,,
21,0.3,0.2,0.5,18,9,0,6057.68,10.2,,,,,
22,0.3,0.3,0.4,18,9,0,3767.93,9.3,,,,,
23,0.3,0.4,0.3,18,9,0,3377.18,8.4,,,,,
24,0.3,0.5,0.2,18,9,0,2631.66,7.5,,,,,
25,0.3,0.6,0.1,18,6,8,1737.86,7.6,,,,,
26,0.3,0.7,0,18,6,27,837.33,7.8,,,,,
27,0.4,0,0.6,17,11,0,43257.2,16.4,,,,,
28,0.4,0.1,0.5,17,11,0,7273.04,15.3,,,,,
29,0.4,0.2,0.4,17,11,0,6215.39,14.2,,,,,
30,0.4,0.3,0.3,18,9,0,3342.03,13.3,,,,,
31,0.4,0.4,0.2,18,9,0,4191.74,12.4,,,,,
32,0.4,0.5,0.1,18,6,8,4015.44,12.2,,,,,
33,0.4,0.6,0,18,6,23,3001.65,12.4,,,,,
34,0.5,0,0.5,17,11,0,15595.88,20.5,,,,,
35,0.5,0.1,0.4,17,11,0,7835.31,19.4,,,,,
36,0.5,0.2,0.3,17,11,0,7668.82,18.3,,,,,
37,0.5,0.3,0.2,18,9,0,4198.17,17.3,,,,,
38,0.5,0.4,0.1,18,6,8,5707.368325,16.8,,,,,
39,0.5,0.5,0,18,6,23,3780.137349,17,,,,,
